Month,All,Male,Female
20-Apr,26562,15237,11325
20-May,26930,15382,11549
20-Jun,27055,15431,11624
20-Jul,27106,15461,11645
20-Aug,27085,15469,11615
20-Sep,27012,15430,11582
20-Oct,27088,15456,11633
20-Nov,27241,15523,11718
20-Dec,26526,15244,11281
21-Jan,25818,14939,10879
21-Feb,26365,15149,11215
21-Mar,26923,15417,11506
21-Apr,27214,15514,11699
