Month,All,Male,Female
20-Apr,1172,675,497
20-May,1278,737,541
20-Jun,1228,694,534
20-Jul,1138,642,496
20-Aug,864,484,381
20-Sep,1000,587,413
20-Oct,1028,605,423
20-Nov,967,540,427
20-Dec,1135,594,542
21-Jan,1570,789,781
21-Feb,1353,739,614
21-Mar,1215,682,534
21-Apr,1147,653,494
