Month,All,Male,Female
Apr-20,27734,15912,11822
May-20,28209,16119,12090
Jun-20,28283,16125,12158
Jul-20,28244,16103,12141
Aug-20,27949,15953,11996
Sep-20,28012,16018,11994
Oct-20,28116,16060,12056
Nov-20,28208,16063,12145
Dec-20,27661,15838,11823
Jan-21,27388,15728,11660
Feb-21,27718,15889,11829
Mar-21,28138,16099,12040
Apr-21,28361,16167,12194
